City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Caninde De Sao Francisco,BR,-9.66,-37.7894,79.79,68,96,10.94,overcast clouds
257,Artyom,AZ,40.4723,50.333,41.0,93,90,16.11,overcast clouds
258,Acapulco,MX,16.8634,-99.8901,82.4,74,1,9.22,clear sky
259,Ribeira Grande,PT,38.5167,-28.7,59.04,77,66,13.87,broken clouds
260,Moose Factory,CA,51.2585,-80.6094,-11.2,77,40,4.61,scattered clouds
261,Yuksekova,TR,37.5736,44.2872,30.2,93,4,6.91,mist
262,Progreso,MX,21.2833,-89.6667,78.01,78,20,8.05,few clouds
263,Yar-Sale,RU,66.8333,70.8333,-11.15,90,100,22.32,light snow
264,Chilca,PE,-12.5211,-76.7372,79.0,83,90,13.8,overcast clouds
265,Gurupi,BR,-11.7292,-49.0686,69.37,97,100,3.56,overcast clouds
266,Nassau,US,40.7507,-73.5829,30.99,86,20,6.91,few clouds
267,Pevek,RU,69.7008,170.3133,-6.18,83,0,1.77,clear sky
268,Itoman,JP,26.1247,127.6694,64.4,63,20,9.22,few clouds
269,Aktash,RU,50.3,87.7333,5.16,90,29,6.89,scattered clouds
270,Suoyarvi,RU,62.0833,32.35,-3.55,92,56,4.36,broken clouds
271,Dwarka,IN,22.2394,68.9678,68.02,46,0,12.33,clear sky
272,Yeppoon,AU,-23.1333,150.7333,86.0,66,20,5.75,few clouds
273,Oranjemund,NA,-28.55,16.4333,62.19,78,0,19.19,clear sky
274,Broome,US,42.2506,-75.833,19.99,73,1,5.75,clear sky
275,Bedi,IN,22.5,70.05,65.79,46,0,6.15,clear sky
276,Tilichiki,RU,60.4667,166.1,17.74,94,100,18.32,overcast clouds
277,Babu,CN,24.4167,111.5167,63.75,68,51,6.44,broken clouds
278,Bitkine,TD,11.9801,18.2138,67.46,22,47,8.68,scattered clouds
279,Meghraj,IN,23.5,73.5,58.37,35,0,9.71,clear sky
280,San Marcos,US,33.1434,-117.1661,66.99,63,0,3.0,clear sky
281,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,40,5.75,light rain
282,Paamiut,GL,61.994,-49.6678,28.0,86,86,8.32,overcast clouds
283,Nikel,RU,69.4128,30.222,21.2,79,75,19.57,broken clouds
284,Tambura,SS,5.6,27.4667,63.03,28,73,4.79,broken clouds
285,Maningrida,AU,-12.0667,134.2667,82.31,77,100,10.51,light rain
286,Murray Bridge,AU,-35.1167,139.2667,61.0,70,11,4.0,few clouds
287,Tubarao,BR,-28.4667,-49.0069,67.05,85,15,1.88,few clouds
288,Khudumelapye,BW,-23.8833,24.75,62.71,96,60,5.59,broken clouds
289,Marawi,PH,7.9986,124.2928,75.0,95,100,3.0,overcast clouds
290,Rabak,SD,13.1809,32.74,65.91,29,0,12.15,clear sky
291,Fukagawa,JP,43.7081,142.0392,-0.4,85,75,1.14,light snow
292,Qostanay,KZ,53.1667,63.5833,3.2,78,0,15.66,clear sky
293,Maldonado,UY,-34.6667,-54.9167,72.0,78,75,18.41,broken clouds
294,Guarapari,BR,-20.6667,-40.4975,70.0,94,90,7.31,moderate rain
295,Pontianak,ID,-0.0333,109.3333,73.4,94,20,2.3,mist
296,Yenagoa,NG,4.9247,6.2642,79.92,86,85,5.19,overcast clouds
297,Port Macquarie,AU,-31.4333,152.9167,78.01,62,98,1.99,overcast clouds
298,Kruisfontein,ZA,-34.0033,24.7314,64.99,89,90,1.99,overcast clouds
299,Polewali,ID,-3.4324,119.3435,79.95,79,66,1.88,broken clouds
300,Pemba,MZ,-12.974,40.5178,80.01,94,75,5.75,light rain
301,Imbituba,BR,-28.24,-48.6703,75.2,73,40,13.8,scattered clouds
302,Kualakapuas,ID,-3.0091,114.3876,77.0,100,75,1.14,broken clouds
303,Chapais,CA,49.7834,-74.8492,12.2,85,90,6.91,overcast clouds
304,Maymyo,MM,22.0333,96.4667,59.0,88,11,2.3,mist
305,Kananga,CD,-5.8958,22.4178,70.41,86,98,1.23,overcast clouds
306,Uelzen,DE,52.9667,10.5667,23.0,58,75,18.41,snow
307,Ravar,IR,31.2656,56.8055,52.97,58,1,7.61,clear sky
308,Ormara,PK,25.2088,64.6357,68.0,37,0,8.19,clear sky
309,Gabu,GW,12.2833,-14.2167,74.84,20,81,4.14,broken clouds
310,Belaya Gora,RU,68.5333,146.4167,-26.77,84,76,3.31,broken clouds
311,Bengkulu,ID,-3.8004,102.2655,75.52,80,92,5.97,overcast clouds
312,Ahipara,NZ,-35.1667,173.1667,73.4,56,14,9.17,few clouds
313,Tokur,RU,53.1333,132.9,-18.35,89,100,2.01,overcast clouds
314,Sangar,RU,63.9242,127.4739,-33.41,78,0,0.96,clear sky
315,Chelmza,PL,53.1846,18.6047,10.99,78,91,4.0,overcast clouds
316,Iskateley,RU,67.6803,53.1512,-16.13,88,100,15.39,overcast clouds
317,Cananea,MX,30.95,-110.3,64.99,16,0,3.0,clear sky
318,Los Llanos De Aridane,ES,28.6585,-17.9182,60.8,77,20,4.61,few clouds
319,Abadiania,BR,-16.2042,-48.7069,66.2,100,75,2.3,light rain
320,Fairbanks,US,64.8378,-147.7164,-11.99,77,20,4.61,few clouds
321,Quesnel,CA,52.9999,-122.5029,10.4,61,75,9.22,broken clouds
322,Maiduguri,NG,11.8464,13.1603,68.32,22,55,8.21,broken clouds
323,Deputatskiy,RU,69.3,139.9,-27.06,85,52,1.43,broken clouds
324,Awbari,LY,26.5921,12.7805,65.32,27,100,11.36,overcast clouds
325,Guerrero Negro,MX,27.9769,-114.0611,70.52,31,0,12.91,clear sky
326,Flin Flon,CA,54.7682,-101.865,-25.6,56,1,12.66,snow
327,Erenhot,CN,43.6475,111.9767,8.96,86,0,7.92,clear sky
328,Alipur,PK,29.3846,70.9116,56.68,34,0,2.33,clear sky
329,Hede,CN,33.7681,120.2517,35.74,78,99,11.05,overcast clouds
330,Creel,MX,27.75,-107.6333,53.51,40,0,12.84,clear sky
331,Nenjiang,CN,49.1833,125.2167,-13.09,85,0,3.42,clear sky
332,Noyabrsk,RU,63.1994,75.4507,-2.7,88,93,15.48,overcast clouds
333,Vogan,TG,6.3333,1.5333,84.2,84,20,11.5,few clouds
334,Lakselv,NO,70.0513,24.9718,21.2,73,75,11.5,light snow
335,Rudnaya Pristan,RU,44.3614,135.8116,5.18,79,0,13.98,clear sky
